screen_id,name,route,purpose,components,actions,states,mobile_behavior,acceptance
SCR-01,Command Center,/,Give the user a trusted answer to what matters now.,Global search and command button | Active deployments cards | Today timeline and route | Urgent commitments | Interview/outreach queue | Unverified high-priority claims | Assets awaiting ingest or metadata | Capture packages incomplete | Outputs in production | Sync/job health | Quick capture rail,Open deployment | Complete or snooze task | Start Field Mode | Create any record | Run targeted sync | Review alert,Empty first-run | Normal | Offline with cached data | Integration degraded | Sensitive item hidden by role,"Cards collapse into Today, Next Interview, Capture, and Alerts. Quick Capture remains fixed at bottom.",Loads actionable content in under 2 seconds on normal connection | Every alert links to its cause and resolution action | No count is displayed without queryable underlying records
SCR-02,Deployments index,/deployments,Compare and enter all field deployments.,"Status tabs | Calendar/timeline | Map | Deployment cards | Readiness score | Upcoming dates | Filter by city, outlet, lane and status",Create deployment | Duplicate structure | Archive deployment | Open planning or field workspace,Planning | Ready | Active | Processing | Closed | Cancelled,List view sorted by proximity; map optional.,"Manhattan and Reykjavík appear with dates, mission, next action and Drive status | Archived deployments remain searchable"
SCR-03,Deployment workspace,/deployments/[id],Operate one trip from planning through outputs.,"Mission and assignments | Readiness meter | Dates, city, timezone, credentials and Drive link | Targets | Schedule/route | Interview pipeline | Research questions | Claims/law/evidence | Shot lists and capture packages | Daily logs | Assets | Outputs | Follow-ups | Notion mirror status",Add target | Send/create outreach draft | Book interaction | Start Field Mode | Create daily plan | Run completeness audit | Close deployment,Planning | Field active | Post-field processing | Closed; immutable summary with continuing follow-ups,"Defaults to Today tab during active dates; offline cache includes itinerary, contacts, consent and capture cards.",A user can reach any deployment record within two taps | Readiness identifies exact missing prerequisites | Closing requires unresolved promises and restrictions review
SCR-04,Today / Field plan,/deployments/[id]/today,"Translate the deployment into a chronological, location-aware action plan.",Timeline | Map/route | Travel buffers | Access requirements | Interview cards | Capture package state | Evidence requests | Weather/manual notes | Emergency contacts | Offline status,Check in | Start capture | Record delay | Reorder | Skip with reason | Open navigation | Add spontaneous interaction,On time | At risk | Delayed | Skipped | Completed,Large tap targets; minimal text; high contrast; one-hand use.,Changes persist offline and sync without duplicate actions | Skipped priority-A item requires reason and recovery task
SCR-05,Target / relationship record,/people/[id] or /institutions/[id],"Preserve who the source is, why they matter, and every relationship context.",Identity and pronunciation | Roles and organizations over time | Expertise and interests | Contact routes | Relationship history | Deployments and interactions | Claims/evidence | Permissions/preferences | Introductions | Commitments | Potential outputs | Risk/conflict disclosures,Create outreach | Schedule interview | Request introduction | Add note | Link to claim/system/output | Restrict identity,Prospect | Contacted | Active source | Research participant | Collaborator | Dormant | Do not contact,"Compact identity, next action, contact, and last interaction first.",No duplicate person is created when email or external IDs match | Restricted identity is omitted from unauthorized search and exports
SCR-06,Interaction / interview workspace,/interactions/[id],"Prepare, conduct, and close a source interaction.",Context and role | Participants | Purpose | Question tree | Ground rules | Consent recorder | Recording files | Live notes | Promises | Claims detected | Evidence requested | Cognition update | Follow-up,Begin consent | Start/stop interview timer | Mark on/off record segment | Add timestamped note | Capture claim | Close interaction,Draft | Scheduled | In progress | Processing | Completed | Restricted | Cancelled,Interview Mode hides unrelated app elements and prevents accidental navigation.,"Consent state is visible continuously during recording | Off-record segments are timestamped and excluded from default transcript retrieval | Closing prompts for promises, next source and immediate cognition update"
SCR-07,Claim record,/claims/[id],Represent one exact assertion independently from its support.,Exact wording | Claimant/context/time | Type | Stakeholders/consequences | Evidence links | Counterevidence | Conflicts | Legal significance | Financial interest | Verification history | Permitted outputs,Add evidence | Request response | Change status with reason | Create contradiction | Generate verification brief,Unreviewed | Unverified | Partially verified | Verified | Disputed | False | Superseded | Do not use,Quick capture stores exact wording and context first; detailed fields later.,Every status change is audited | Verified status requires at least one evidence record and reviewer/owner action | AI cannot set final status
SCR-08,Evidence / law record,/evidence/[id],Store and evaluate the source supporting or challenging claims.,Source identity | Evidence type | Original file/URL | Date/version/jurisdiction | Method/population/comparator/metric | Reliability/fitness | Limitations | Claims supported/challenged | Legal authority/citation | Verification notes | Drive location,Attach/copy to Drive | Extract text | Link claim | Add limitation | Create superseding version,Unreviewed | Authenticated | Method reviewed | Verified for stated purpose | Disputed | Superseded | Restricted,Capture URL/photo/document now; detailed evaluation can be queued.,Source version is preserved | A later version does not overwrite the historical source | Legal records store effective dates and temporal status
SCR-09,Systems reconstruction,/systems/[id],"Make the actual workflow, authority and consequence visible.",System summary | Trigger | Actors/institutions | Step graph | Inputs/outputs | Decision rules | Law | Evidence/assets | Exceptions | Feedback | Failure and repair | Affected people | Version comparison,Add step | Connect nodes | Mark observed/claimed | Create exception | Compare jurisdiction/time | Export map,Draft | Partially observed | Verified | Disputed | Superseded,Field capture supports adding a step or friction point with voice and photo.,Every graph edge has a source status | Observed and claimed steps render differently | Export can include evidence citations and uncertainty legend
SCR-10,Media ingest,/archive/ingest,Protect and convert raw field media into searchable records.,Device/session selector | File manifest | Duplicate detection | Destination Drive folder | Naming preview | Metadata defaults | Consent/restriction inheritance | Checksum/status | Proxy/transcript queue | Errors,Scan files | Assign subject | Create Drive folders | Copy/upload | Verify | Queue transcription | Quarantine,Pending | Copying | Verifying | Protected | Processing | Needs review | Failed,Mobile supports registering a file and uploading small urgent audio; large media typically ingests from desktop.,Source files are not deleted by the application | A file is protected only after two verified copies or explicit override | Partial failure is resumable
SCR-11,Asset record,/assets/[id],"Preserve provenance, permissions, context and potential uses for one media/document asset.",Preview/proxy | Master location | Capture metadata | People/place/system/claim links | Consent and restrictions | Transcript | Derivative lineage | Verification | Potential outputs | Usage history,Edit metadata | Create derivative | Restrict | Link records | Export source card | Request permission,Unreviewed | Protected | Metadata complete | Restricted | Approved for specified uses | Published | Do not use,Quick asset card emphasizes restriction and context; proxy-only playback.,Original master is immutable in app | Derivatives identify parent asset and edit method | Permission changes flag affected outputs
SCR-12,Universal search and research canvas,/search,"Retrieve across structured, textual, graph, geographic and multimodal records.",Natural language box | Filters | Result groups | Why this matched | Source excerpts | Graph neighborhood | Map/timeline | Saved query | Research canvas,Open source | Pin to canvas | Compare | Create brief | Export source set | Convert question to research task,Keyword | Semantic | Hybrid | Graph neighborhood | Exact citation,Recent searches and voice query; no automatic sensitive result preview.,Every generated answer cites internal record IDs | Search respects permissions before retrieval | User can inspect query filters and source set
SCR-13,Output workspace,/outputs/[id],Turn evidence into a controlled publication or media object.,Brief and audience | Assignment/outlet | Source set | Claims allowed | Asset selects | Structure | Draft/script | Rights and permissions | Fact check | Legal/editorial review | Versions | Publication/correction,Assemble source packet | Generate outline | Draft from approved sources | Request permission | Approve version | Publish/archive | Issue correction,Idea | Assigned | Researching | Drafting | Review | Ready | Published | Corrected | Killed,"Mobile permits review and notes, not final publication by default.",Generated text cannot cite restricted/off-record material | Publication readiness blocks on unresolved permissions and high-risk unverified claims | Corrections preserve prior version and reason
SCR-14,FCIF Library,/library,"Keep the method, standards, fieldbooks and capture cards inside the operational product.",Manual sections | Standards | Capture taxonomy | Consent cards | Domain fieldbooks | Version history | Linked implementation templates,Read | Search | Apply template | Propose revision | View superseded rule,Draft standard | Active | Superseded | Archived,Offline cache of active field cards and consent language.,Every operational template identifies its governing standard version | Changing a standard creates a migration/review notice rather than silently changing historical records
SCR-15,Settings and integrations,/settings,Administer the workspace without exposing secrets or complexity during field use.,Profile/workspace | Roles | Notion connection | Drive connection | AI/transcription providers | Controlled vocabularies | Retention | Exports | Audit log | Sync conflicts | Feature flags,Connect/revoke | Test | Run sync | Rotate secret | Export | Restore | Invite role,Healthy | Degraded | Paused | Action required,Admin screen is desktop-first.,Secrets never render after entry | Revoking an integration stops future jobs without deleting canonical records | Sync conflict requires explicit resolution
